#model: tadap
# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
23.496738291711175 0.9128926633858286 0.40957163329636825 -248120.53563827262  -31.977475753313453 -31.977475753313453 -31.977475753313453 0.0 0.0 0.0 357.2754465163791 2.660360549975291E-4 26.1470517492903 1.2946604647298224E-4 31.977475753313453 1.9877405219573878 4.188758009268997E-7 23.496738291711175 357.2754465163791
23.535355996169947 0.9113947544915271 0.41798806343128064 -248120.53451532932  -32.69319963692022 -32.69319963692022 -32.69319963692022 0.0 0.0 0.0 358.43915254017486 2.6580432202601877E-4 26.387356900647212 1.2962431387271897E-4 32.69319963692022 1.9726702426155467 4.117411763746584E-7 23.535355996169947 358.43915254017486
23.57397370065709 0.90990175319497 0.4264291328845111 -248120.53339292464  -33.408815020110765 -33.408815020110765 -33.408815020110765 0.0 0.0 0.0 359.5958698571136 2.655697763667697E-4 26.628787835099374 1.2978258127257198E-4 33.408815020110765 1.9576780918569447 4.0473754797281E-7 23.57397370065709 359.5958698571136
23.612591405172452 0.9084136354174694 0.43489476421710466 -248120.53227106333  -34.124322439900986 -34.124322439900986 -34.124322439900986 0.0 0.0 0.0 360.7455878452543 2.6533244401708543E-4 26.871332347399445 1.2994084867254066E-4 34.124322439900986 1.9427635814563728 3.9786231029306324E-7 23.612591405172452 360.7455878452543
23.651209109715907 0.9069303772375996 0.4433848784063863 -248120.53114975002  -34.83972243858985 -34.83972243858985 -34.83972243858985 0.0 0.0 0.0 361.88829656809895 2.650923504330777E-4 27.114978228128578 1.3009911607262444E-4 34.83972243858985 1.9279262268868986 3.911129079873647E-7 23.651209109715907 361.88829656809895
23.68982681428731 0.9054519548899161 0.45189939489099756 -248120.53002898922  -35.55501556361283 -35.55501556361283 -35.55501556361283 0.0 0.0 0.0 363.0239867664754 2.6484952119191525E-4 27.359713265401012 1.302573834728228E-4 35.55501556361283 1.9131655472866436 3.844868351291942E-7 23.68982681428731 363.0239867664754
23.728444518886523 0.9039783447636861 0.46043823161506203 -248120.52890878535  -36.270202367397566 -36.270202367397566 -36.270202367397566 0.0 0.0 0.0 364.1526498504369 2.64603981123128E-4 27.605525246541742 1.3041565087313508E-4 36.270202367397566 1.8984810654258923 3.779816345408894E-7 23.728444518886523 364.1526498504369
23.767062223513417 0.9025095234016309 0.46900130507148824 -248120.52778914277  -36.98528340722117 -36.98528340722117 -36.98528340722117 0.0 0.0 0.0 365.2742778911799 2.643557548104962E-4 27.852401959737165 1.3057391827356085E-4 36.98528340722117 1.8838723076745394 3.715948971089559E-7 23.767062223513417 365.2742778911799
23.805679928167855 0.9010454674986822 0.4775885303444109 -248120.52667006585  -37.70025924506796 -37.70025924506796 -37.70025924506796 0.0 0.0 0.0 366.3888636129802 2.6410486621082597E-4 28.100331195658544 1.307321856740995E-4 37.70025924506796 1.869338803969897 3.6532426108919637E-7 23.805679928167855 366.3888636129802
23.844297632849702 0.899586153900749 0.48619844971963244 -248120.52558300734  -38.417971133815165 -38.417971133815165 -38.417971133815165 0.0 0.0 0.0 367.4964003851512 2.6377654909733066E-4 28.33128375178457 7.322907992387702E-5 38.417971133815165 6.298339926846471 6.827455618708717E-7 23.844297632849702 367.4964003851512
23.882915337558817 0.8981315596034979 0.4948279324483246 -248120.5243380923  -39.16803499747783 -39.16803499747783 -39.16803499747783 0.0 0.0 0.0 371.29307937950324 2.6390618936743715E-4 28.540944190189048 7.167629492305665E-5 39.16803499747783 6.406401753514652 6.73649578939585E-7 23.882915337558817 371.29307937950324
23.92153304229508 0.8966816617511417 0.5034751543009306 -248120.52309796037  -39.9189580218033 -39.9189580218033 -39.9189580218033 0.0 0.0 0.0 375.18969221890217 2.6400301696522714E-4 28.750314536331537 7.01235099211446E-5 39.9189580218033 6.519343004331557 6.647155955780981E-7 23.92153304229508 375.18969221890217
