# rho0 5.912 g/cc e0 -1078.25 MJ/kg
# p0 = 0.00121236 GPa, c0 = 5.30907 km/s, T0 = 293 K
#rho   v   up   us   p   e   v/v0   T   csq
#g/cc cc/g km/s km/s GPa MJ/kg - K (km/s)^2
8.57743 0.116585 2.69521 8.67327 138.202 -1079.28 0.689251 2944.19 64.3784
8.59516 0.116345 2.71352 8.69241 139.448 -1079.23 0.687829 2983.59 63.8926
8.61289 0.116105 2.7339 8.71818 140.912 -1079.17 0.686413 3027.14 90.298
8.63062 0.115867 2.75502 8.74618 142.456 -1079.12 0.685003 3072.79 90.2858
8.64835 0.115629 2.77612 8.77407 144.005 -1079.06 0.683599 3119.26 90.2942
8.66608 0.115392 2.79723 8.80187 145.56 -1079 0.6822 3166.53 90.3237
8.68381 0.115157 2.81834 8.82959 147.12 -1078.94 0.680807 3214.57 90.3626
8.70154 0.114922 2.83945 8.85722 148.686 -1078.88 0.67942 3263.48 90.4196
8.71927 0.114689 2.86056 8.8848 150.258 -1078.82 0.678039 3313.28 90.5132
8.737 0.114456 2.88169 8.91233 151.836 -1078.76 0.676663 3363.91 90.6261
8.75473 0.114224 2.90282 8.93981 153.422 -1078.7 0.675292 3415.44 90.7389
8.77246 0.113993 2.92398 8.96726 155.014 -1078.64 0.673928 3467.86 90.8919
8.79019 0.113763 2.94515 8.9947 156.614 -1078.57 0.672568 3521.13 91.0625
8.80792 0.113534 2.96634 9.02212 158.222 -1078.51 0.671214 3575.39 91.2453
8.82565 0.113306 2.98756 9.04954 159.838 -1078.45 0.669866 3630.64 91.45
8.84338 0.113079 3.00881 9.07697 161.463 -1078.38 0.668523 3686.84 91.6849
8.86111 0.112853 3.03009 9.10443 163.097 -1078.32 0.667185 3744.05 91.9369
8.87884 0.112627 3.0514 9.13192 164.74 -1078.26 0.665853 3802.27 92.0935
8.89657 0.112403 3.07276 9.15945 166.393 -1078.19 0.664526 3861.53 92.4007
8.9143 0.112179 3.09415 9.18703 168.056 -1078.12 0.663204 3921.86 92.7074
8.93203 0.111957 3.1156 9.21469 169.73 -1078.06 0.661888 3983.31 93.0633
8.94976 0.111735 3.13709 9.24242 171.416 -1077.99 0.660577 4045.9 93.4342
8.96749 0.111514 3.15865 9.27025 173.113 -1077.92 0.659271 4109.6 93.8122
8.98522 0.111294 3.18026 9.29818 174.823 -1077.85 0.65797 4174.53 94.2261
9.00295 0.111075 3.20194 9.32623 176.545 -1077.78 0.656674 4240.74 94.6652
9.02068 0.110856 3.22368 9.3544 178.281 -1077.71 0.655383 4308.13 95.0439
9.03841 0.110639 3.2455 9.38272 180.031 -1077.64 0.654098 4376.86 95.5431
9.05614 0.110422 3.26741 9.41119 181.796 -1077.57 0.652817 4446.92 96.0465
9.07387 0.110207 3.28939 9.43983 183.576 -1077.5 0.651541 4518.32 96.5849
9.0916 0.109992 3.31147 9.46865 185.373 -1077.43 0.650271 4591.2 97.1562
9.10933 0.109778 3.33364 9.49768 187.186 -1077.35 0.649005 4665.5 97.7381
9.12706 0.109564 3.35607 9.52738 189.035 -1077.28 0.647744 4742.15 137.835
9.14479 0.109352 3.38145 9.56533 191.223 -1077.19 0.646488 4835.18 138.348
9.16252 0.10914 3.40693 9.60341 193.431 -1077.11 0.645237 4930.33 138.841
9.18025 0.10893 3.43251 9.64164 195.659 -1077.02 0.643991 5027.8 139.454
9.19798 0.10872 3.4582 9.68005 197.909 -1076.93 0.64275 5127.74 140.04
9.21571 0.10851 3.48401 9.71866 200.181 -1076.84 0.641513 5230.19 140.716
9.23344 0.108302 3.50995 9.7575 202.477 -1076.75 0.640282 5335.24 141.391
9.25117 0.108094 3.53603 9.79658 204.799 -1076.66 0.639054 5442.94 142.148
9.2689 0.107888 3.56227 9.83595 207.147 -1076.57 0.637832 5553.57 142.919
9.28663 0.107682 3.58866 9.87561 209.524 -1076.47 0.636614 5667.02 143.77
9.30436 0.107477 3.61522 9.91562 211.93 -1076.38 0.635401 5783.63 144.649
9.32209 0.107272 3.64197 9.95599 214.367 -1076.28 0.634193 5903.43 145.589
9.33982 0.107068 3.66892 9.99676 216.838 -1076.18 0.632989 6026.59 146.571
9.35755 0.106866 3.69608 10.038 219.343 -1076.08 0.631789 6153.13 147.611
9.37528 0.106663 3.72347 10.0796 221.886 -1075.98 0.630595 6283.5 148.7
9.39301 0.106462 3.7511 10.1218 224.468 -1075.88 0.629404 6417.53 149.864
9.41074 0.106262 3.77899 10.1645 227.091 -1075.77 0.628218 6555.76 151.096
9.42847 0.106062 3.80715 10.2079 229.759 -1075.66 0.627037 6698.11 152.375
9.4462 0.105863 3.83562 10.2518 232.473 -1075.56 0.62586 6844.98 153.728
9.46393 0.105664 3.86439 10.2965 235.237 -1075.44 0.624688 6996.53 155.146
9.48166 0.105467 3.89351 10.3419 238.055 -1075.33 0.62352 7153.06 156.648
9.49939 0.10527 3.92298 10.388 240.928 -1075.22 0.622356 7314.74 158.225
9.51712 0.105074 3.95285 10.4351 243.861 -1075.1 0.621196 7482.04 159.892
9.53485 0.104878 3.98313 10.4831 246.859 -1074.98 0.620041 7655.21 161.636
9.55258 0.104684 4.01385 10.532 249.925 -1074.86 0.61889 7834.63 163.464
9.57031 0.10449 4.04506 10.5821 253.064 -1074.73 0.617744 8020.63 165.415
9.58804 0.104297 4.07677 10.6332 256.282 -1074.6 0.616602 8213.66 167.46
9.60577 0.104104 4.10904 10.6857 259.585 -1074.47 0.615463 8414.36 169.608
9.6235 0.103912 4.1419 10.7395 262.978 -1074.33 0.614329 8622.91 171.865
