# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
10.278809861787593 0.9541766149854941 0.09379550491436646 0.005626806693773564  -1.8759501214474736 -1.8759501214474736 -1.8759501214474736 0.0 0.0 0.0 321.81765982703166 NaN 4.718960695013321 1.1882089945836134E-4 1.8759501214474736 1.9999692684867483 4.89922026452655E-6 10.278809861787593 321.81765982703166
10.286169390893333 0.9534939224978302 0.09535082469345577 0.0058032438849208124  -1.9091199980650424 -1.9091199980650424 -1.9091199980650424 0.0 0.0 0.0 322.2786541924327 NaN 4.72525591834371 1.1881916319443278E-4 1.9091199980650424 1.9999683223383977 4.889118906167518E-6 10.286169390893333 322.2786541924327
10.293528919999519 0.9528122062147428 0.09690606703238923 0.005979718652420855  -1.9422922596862866 -1.9422922596862866 -1.9422922596862866 0.0 0.0 0.0 322.73997828355004 NaN 4.731542835403816 1.1881742693050414E-4 1.9422922596862866 1.9999674193055632 4.8790582018543715E-6 10.293528919999519 322.73997828355004
10.300888449106154 0.952131464043867 0.09846122999147065 0.006156230995665014  -1.9754669080275642 -1.9754669080275642 -1.9754669080275642 0.0 0.0 0.0 323.2016321097152 NaN 4.737821464895383 1.1881569066657537E-4 1.9754669080275642 1.9999665592976632 4.869037906236942E-6 10.300888449106154 323.2016321097152
10.308247978213235 0.9514516938988133 0.100016311642298 0.006332780914046098  -2.008643944805301 -2.008643944805301 -2.008643944805301 0.0 0.0 0.0 323.6636156802738 NaN 4.744091825465708 1.188139544026465E-4 2.008643944805301 1.9999657422243726 4.859057775935493E-6 10.308247978213235 323.6636156802738
10.315607507320765 0.9507728936991462 0.10157131006769837 0.006509368406958722  -2.0418233717360534 -2.0418233717360534 -2.0418233717360534 0.0 0.0 0.0 324.12592900458617 NaN 4.750353935707858 1.1881221813871753E-4 2.0418233717360534 1.999964967995625 4.849117569520953E-6 10.315607507320765 324.12592900458617
10.322967036428736 0.9500950613703636 0.10312622336165622 0.0066859934737988555  -2.0750051905364217 -2.0750051905364217 -2.0750051905364217 0.0 0.0 0.0 324.5885720920264 NaN 4.756607814160849 1.1881048187478844E-4 2.0750051905364217 1.9999642365216121 4.839217047495441E-6 10.322967036428736 324.5885720920264
10.330326565537153 0.949418194843874 0.10468104962925193 0.00686265611396445  -2.10818940292317 -2.10818940292317 -2.10818940292317 0.0 0.0 0.0 325.05154495198383 NaN 4.762853479309863 1.1880874561085926E-4 2.10818940292317 1.9999635477127797 4.829355972272959E-6 10.330326565537153 325.05154495198383
10.33768609464601 0.9487422920569776 0.10623578698658989 0.007039356326854833  -2.141376010613112 -2.141376010613112 -2.141376010613112 0.0 0.0 0.0 325.5148475938613 NaN 4.769090949586426 1.1880700934692997E-4 2.141376010613112 1.9999629014798308 4.819534108160383E-6 10.33768609464601 325.5148475938613
10.345045623755311 0.9480673509528431 0.10779043356073649 0.007216094111871192  -2.174565015323204 -2.174565015323204 -2.174565015323204 0.0 0.0 0.0 325.9784800270767 NaN 4.7753202433686175 1.1880527308300057E-4 2.174565015323204 1.9999622977337206 4.809751221338624E-6 10.345045623755311 325.9784800270767
