# MgO, SESAME 7460
# Ariadne hugoniot_rhottab, bilinear interpolation
#rho v/v0 up us e p T s csqv cv gamma alphavol uc phi st
#g/cc - km/s km/s MJ/kg GPa K MJ/kg.K (km/s)^2 MJ/kg.K - 1/K km/s deg g/cc K
8.535989841749286 0.41998972192606526 14.434765628799028 24.88708592670664 103.43396660699833 1287.8828892027684 46419.3984 NaN 451.89977590248066 0.002095589019082762 0.6968352563105544 3.785647865409797E-7 48.96047873836219 36.64151498193464 8.535989841749286 46419.3984
8.96000004 0.4001147303566307 16.17508752329893 26.963635117953455 130.81396596373466 1563.5712034147132 57802.90745646483 NaN 467.39658965995596 0.0020698333744772254 0.6990078686100079 3.454807860319809E-7 53.822058576942744 34.79266569237392 8.96000004 57802.90745646483
8.966832775514318 0.3998098425332094 16.208608948452515 27.00578932660914 131.34765497726664 1569.2610750620704 58024.1992 NaN 468.22715721304917 0.0024205161835373482 0.6678723366207792 3.850399357307048E-7 53.90148566727911 34.775342060794955 8.966832775514318 58024.1992
9.967162483771668 0.3596839126318117 21.263177355498097 33.20731397346815 224.83315680512132 2531.363309132528 92838.7969 NaN 615.5120588753459 0.0027465611984450076 0.6425139198061106 2.876495621132491E-7 64.03677486564465 33.21793532331665 9.967162483771668 92838.7969
10.492224105053177 0.3416842762892769 24.233494882747298 36.811356633182854 292.7902788538755 3198.088232072955 116048.0 NaN 701.0779357693826 0.0031590871938939535 0.6162572541755722 2.6466090920216464E-7 70.12126083583219 32.331695084718525 10.492224105053177 116048.0
10.7519999 0.33342894655346866 25.782644502017458 38.67951416237969 332.3696185784104 3575.2057183738443 127979.29469583623 NaN 751.4433850821771 0.003142628401551056 0.6181915093646253 2.4045319362867553E-7 73.04562512229973 32.020758182221726 10.7519999 127979.29469583623
11.492326207194784 0.31194972500481144 31.119298489528806 45.228233488819434 482.5940384737043 5045.822689010266 174073.0 NaN 928.2989568020654 0.0035932246176577113 0.5963345484954001 2.0085309579129236E-7 84.23549028586514 30.8401260306211 11.492326207194784 174073.0
12.217990804911196 0.29342205745963956 37.29120961452257 52.777205980205736 693.8712882872003 7055.786393796629 232097.0 NaN 1152.35475042692 0.003954311070124912 0.5818523871897552 1.6341716071223762E-7 97.0508742516988 29.785662563495254 12.217990804911196 232097.0
12.5439997 0.2857962440799484 40.4882531465916 56.69005911966092 819.6465627146331 8228.648428391376 263728.8603270852 NaN 1277.9976089230465 0.0039366813215221275 0.5837242862195242 1.4334150043950629E-7 103.67772366873304 29.34142698548733 12.5439997 263728.8603270852
12.774491218181412 0.28063959172773756 43.01936557895091 59.80224249798996 924.39638889715 9223.038643366433 290121.0 NaN 1401.4007175124354 0.004246050922791363 0.5731010825738406 1.3592848597054272E-7 108.39965405020541 29.22927369809268 12.774491218181412 290121.0
13.224757442621806 0.2710845938425975 48.44583991739699 66.46291120774522 1171.014700108766 11543.258097186794 348146.0 NaN 1677.2917525281105 0.00463735071159917 0.5610339878645226 1.1729048629487169E-7 118.66814495944101 28.95894136090107 13.224757442621806 348146.0
13.89917413586177 0.2579310083431603 58.448536296610406 78.76428870327894 1705.3161259198334 16504.240745503546 464194.0 NaN 2251.5001978104524 0.005045596969042196 0.5528130319440718 8.913121857707016E-8 137.7361548987429 28.564774491952193 13.89917413586177 464194.0
14.3360004 0.25007170061183875 66.82243223275053 89.1050948300904 2232.6159671314244 21346.042520041727 569731.2418011441 NaN 2779.6592098475858 0.005019991124362332 0.5549249769240664 6.990651682675033E-8 154.3321348881798 28.202249461938685 14.3360004 569731.2418011441
14.372732021375649 0.24943260576125795 67.61113432378849 90.08003124404657 2285.1327833696796 21834.301577740753 580242.0 NaN 2823.7289685802166 0.005685408173523717 0.5428126181636979 7.604124987404157E-8 156.0730946824587 28.127941589916738 14.372732021375649 580242.0
