# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
7.691740681193302 0.9471440815980867 0.15938323239549604 0.010721375304235977  -3.4468384807109005 -3.4468384807109005 -3.4468384807109005 0.0 0.0 0.0 333.65419537086956 4.321481695284007E-4 10.20678829432905 2.1251361332818474E-4 3.4468384807109005 2.3564404704374513 6.3786604971784645E-6 7.691740681193302 333.65419537086956
7.698298004083741 0.9463373150162381 0.1621068850728355 0.011118484174179544  -3.5094269110800917 -3.5094269110800917 -3.5094269110800917 0.0 0.0 0.0 334.3247080388651 4.3215168555421597E-4 10.224691488293429 2.1250113881819875E-4 3.5094269110800917 2.3553681301781713 6.3587994010831505E-6 7.698298004083741 334.3247080388651
7.704855326974852 0.9455319216538548 0.16483059926974242 0.011515676030246115  -3.5720188978769927 -3.5720188978769927 -3.5720188978769927 0.0 0.0 0.0 334.9956899776858 4.3215373263217125E-4 10.242549090808907 2.1248866430821146E-4 3.5720188978769927 2.3542977248489745 6.339056270471806E-6 7.704855326974852 334.9956899776858
7.711412649866635 0.9447278980078267 0.16755436675845534 0.011912950742112769  -3.634614440890039 -3.634614440890039 -3.634614440890039 0.0 0.0 0.0 335.66714065663155 4.321543173898756E-4 10.260361261565995 2.1247618979822292E-4 3.634614440890039 2.3532292495331157 6.319430062007868E-6 7.711412649866635 335.66714065663155
7.717969972759091 0.9439252405869488 0.17027817937449666 0.01231030817967846  -3.6972135399084487 -3.6972135399084487 -3.6972135399084487 0.0 0.0 0.0 336.3390595459218 4.321534464176123E-4 10.278128159566519 2.1246371528823308E-4 3.6972135399084487 2.3521626993305653 6.299919744614238E-6 7.717969972759091 336.3390595459218
7.724527295652217 0.9431239459118709 0.1730020290161473 0.01270774821306357  -3.759816194722197 -3.759816194722197 -3.759816194722197 0.0 0.0 0.0 337.01144611669446 4.3215112626859034E-4 10.295849943127157 2.1245124077824194E-4 3.759816194722197 2.351098069357933 6.2805242992937514E-6 7.724527295652217 337.01144611669446
7.731084618546009 0.9423240105150475 0.1757368687563903 0.013134597458032585  -3.823404961461191 -3.823404961461191 -3.823404961461191 0.0 0.0 0.0 337.6842993974483 4.321501178532403E-4 10.480133003947115 2.1243863082417086E-4 3.823404961461191 2.3500318728646903 6.161692558876677E-6 7.731084618546009 337.6842993974483
7.737641941440469 0.9415254309406871 0.17848268419829064 0.013564751706325534  -3.8871052533142976 -3.8871052533142976 -3.8871052533142976 0.0 0.0 0.0 338.3576181957799 4.321479747700633E-4 10.498092804735213 2.1242600598444833E-4 3.8871052533142976 2.3489672112580027 6.1427890525083235E-6 7.737641941440469 338.3576181957799
7.74419926433559 0.9407282037447032 0.18122851843087087 0.013994987723394655  -3.950809083802511 -3.950809083802511 -3.950809083802511 0.0 0.0 0.0 339.0314019828541 4.321444006981284E-4 10.516007041744313 2.1241338114472456E-4 3.950809083802511 2.3479044627208694 6.123996105717679E-6 7.74419926433559 339.0314019828541
7.750756587231376 0.9399323254946638 0.18397436349024796 0.01442530537952284  -4.014516452691955 -4.014516452691955 -4.014516452691955 0.0 0.0 0.0 339.7056502308667 4.321394020542725E-4 10.533875873886897 2.124007563049995E-4 4.014516452691955 2.3468436224173965 6.105312755705843E-6 7.750756587231376 339.7056502308667
7.757313910127822 0.9391377927697436 0.18672021147358922 0.014855704545214331  -4.078227359749476 -4.078227359749476 -4.078227359749476 0.0 0.0 0.0 340.380362412932 4.321329852194077E-4 10.551699459393276 2.1238813146527314E-4 4.078227359749476 2.3457846855280504 6.086738050813331E-6 7.757313910127822 340.380362412932
7.763871233024926 0.9383446021606734 0.1894769247968868 0.015305954971079581  -4.142609712010638 -4.142609712010638 -4.142609712010638 0.0 0.0 0.0 341.0555378909441 4.3212996417163496E-4 10.737439596886848 2.1263822505871095E-4 4.142609712010638 2.3434232050012014 5.977409465478426E-6 7.763871233024926 341.0555378909441
7.770428555922691 0.9375527502696922 0.19224448898670077 0.01576926095850328  -4.2074326338885495 -4.2074326338885495 -4.2074326338885495 0.0 0.0 0.0 341.73079971138884 4.3213590873934814E-4 10.755494675101271 2.1262583060666397E-4 4.2074326338885495 2.3423658494466237 5.959301927192256E-6 7.770428555922691 341.73079971138884
7.776985878821109 0.9367622337104992 0.195012037680841 0.016232648125826546  -4.272259087466351 -4.272259087466351 -4.272259087466351 0.0 0.0 0.0 342.4065220806586 4.3214041401942E-4 10.77350409716973 2.1261343615461574E-4 4.272259087466351 2.3413103841522704 5.941298959868582E-6 7.776985878821109 342.4065220806586
