# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
7.7319673041862895 0.943123945911871 0.1629429406508333 0.012578378182893505  -3.3512221797179373 -3.3512221797179373 -3.3512221797179373 0.0 0.0 0.0 328.8263593164359 5.132613469602586E-4 9.327810286444636 2.158087144790005E-4 3.3512221797179373 1.9145098826290305 5.728710513304548E-6 7.7319673041862895 328.8263593164359
7.738530942876042 0.9423240105150477 0.16553542956295558 0.013027055765711964  -3.4087087824580276 -3.4087087824580276 -3.4087087824580276 0.0 0.0 0.0 329.36091807806037 5.133506918622263E-4 9.341279539470895 2.1580334175928364E-4 3.4087087824580276 1.9140528443766203 5.714091590096808E-6 7.738530942876042 329.36091807806037
7.7450945815664625 0.9415254309406872 0.16812758671988035 0.013475789534855348  -3.4661983012868154 -3.4661983012868154 -3.4661983012868154 0.0 0.0 0.0 329.89576382273697 5.134388390304523E-4 9.354720611544687 2.1579796903956628E-4 3.4661983012868154 1.9135966388157373 5.69954524394267E-6 7.7450945815664625 329.89576382273697
7.7516582202575455 0.9407282037447035 0.1707194074472581 0.013924579442046793  -3.5236907371660533 -3.5236907371660533 -3.5236907371660533 0.0 0.0 0.0 330.43089634818375 5.135257929715587E-4 9.368133591691533 2.1579259631984834E-4 3.5236907371660533 1.9131412638354952 5.685070936931073E-6 7.7516582202575455 330.43089634818375
7.758221858949295 0.939932325494664 0.17331088710614392 0.014373425439099426  -3.5811860910573183 -3.5811860910573183 -3.5811860910573183 0.0 0.0 0.0 330.9663154525135 5.136115581706231E-4 9.381518568577913 2.1578722360012987E-4 3.5811860910573183 1.9126867173321502 5.670668136450224E-6 7.758221858949295 330.9663154525135
7.764785497641703 0.9391377927697437 0.17590202109272182 0.014822327477914902  -3.638684363921849 -3.638684363921849 -3.638684363921849 0.0 0.0 0.0 331.5020209342318 5.136961390913032E-4 9.394875630513024 2.1578185088041085E-4 3.638684363921849 1.9122329972090737 5.656336315122549E-6 7.764785497641703 331.5020209342318
7.771349136334771 0.9383446021606736 0.17849280483804675 0.015271285510484376  -3.6961855567207023 -3.6961855567207023 -3.6961855567207023 0.0 0.0 0.0 332.03801259223684 5.137795401759608E-4 9.408204865450548 2.1577647816069131E-4 3.6961855567207023 1.911780101376719 5.642074950740519E-6 7.771349136334771 332.03801259223684
7.7779127750285 0.9375527502696924 0.1810832338077783 0.015720299488887753  -3.7536896704146887 -3.7536896704146887 -3.7536896704146887 0.0 0.0 0.0 332.5742902258183 5.138617658457836E-4 9.421506360990374 2.1577110544097124E-4 3.7536896704146887 1.9113280277525941 5.6278835262034926E-6 7.7779127750285 332.5742902258183
7.784476413722883 0.9367622337104994 0.18367330350191713 0.01616936936529301  -3.8111967059643064 -3.8111967059643064 -3.8111967059643064 0.0 0.0 0.0 333.1108536346556 5.139428205009082E-4 9.434780204380335 2.1576573272125062E-4 3.8111967059643064 1.9108767742612316 5.613761529455441E-6 7.784476413722883 333.1108536346556
7.791040052417921 0.9359730491082042 0.18626300945455176 0.016618495091956852  -3.868706664329864 -3.868706664329864 -3.868706664329864 0.0 0.0 0.0 333.6477026188181 5.140227085205408E-4 9.44802648251793 2.1576036000152944E-4 3.868706664329864 1.9104263388341576 5.599708453423587E-6 7.791040052417921 333.6477026188181
7.797603691113615 0.9351851930992802 0.18885234723360025 0.017067676621224128  -3.926219546471429 -3.926219546471429 -3.926219546471429 0.0 0.0 0.0 334.18483697876337 5.141014342630772E-4 9.461245281952051 2.1575498728180773E-4 3.926219546471429 1.9099767194098634 5.585723795957938E-6 7.797603691113615 334.18483697876337
7.804167329809959 0.934398662331516 0.19144131244055373 0.017516913905527176  -3.9837353533487745 -3.9837353533487745 -3.9837353533487745 0.0 0.0 0.0 334.72225651533614 5.141790020662225E-4 9.474436688884646 2.1574961456208554E-4 3.9837353533487745 1.9095279139337755 5.571807059771724E-6 7.804167329809959 334.72225651533614
