# cl: 2.72 km/s
# cs: 1.36 km/s

#shot method rho0 rhoflyer us up - - - ⍴ p e
#- - g/cc g/cc km/s km/s - - - g/cc GPa MJ/kg


# polymethyl methacrylate / acrylic / plexiglass
8a-696  0,1  1.182e+00 2.785e+00  4.284 1.148  6.335 1.000 1.000 1.615 5.813 0.659
8c2717  3,1  1.187e+00 2.793e+00  4.053 0.939  6.146 1.000 1.005 1.545 4.517 0.441
8c2717  3,1  1.187e+00 2.793e+00  4.039 0.940  6.146 1.010 1.005 1.547 4.507 0.442
8c2716  3,1  1.187e+00 2.793e+00  4.684 1.368  6.548 1.000 1.007 1.677 7.606 0.936
8c2716  3,1  1.187e+00 2.793e+00  4.677 1.368  6.548 1.005 1.007 1.678 7.595 0.936
8c2643  310  1.187e+00 8.932e+00  5.198 1.725  5.423 1.003 1.007 1.777 10.643 1.488
8c2642  310  1.187e+00 8.933e+00  5.232 1.734  5.432 1.006 1.007 1.775 10.769 1.503
8c1917  3,2  1.189e+00 2.812e+00  5.303 1.866  6.856 1.002 1.001 1.835 11.766 1.741
8c1433  3,1  1.186e+00 2.784e+00  6.695 2.643  7.831 1.008 1.002 1.96 20.986 3.493
8c1422  3,1  1.186e+00 2.784e+00  6.834 2.790  7.975 1.002 1.001 2.004 22.613 3.892
8c1430  3,1  1.186e+00 2.784e+00  6.822 2.834  8.013 1.005 1.007 2.029 22.93 4.016
8c2687  310  1.186e+00 8.932e+00  6.956 2.871  6.473 1.008 1.001 2.02 23.685 4.121
8c2687  310  1.186e+00 8.932e+00  6.971 2.870  6.473 1.010 1.001 2.016 23.728 4.118
8c2687  310  1.186e+00 8.932e+00  6.928 2.872  6.473 1.010 1.001 2.026 23.598 4.124
8c2687  310  1.187e+00 8.932e+00  6.932 2.872  6.473 1.008 1.001 2.027 23.632 4.124
8c2686  310  1.187e+00 8.932e+00  7.136 3.055  6.639 1.006 1.004 2.076 25.877 4.667
8c2686  310  1.186e+00 8.932e+00  7.242 3.049  6.639 1.007 1.004 2.048 26.188 4.648
8c2686  310  1.186e+00 8.932e+00  7.143 3.055  6.639 1.004 1.004 2.072 25.881 4.667
8c2686  310  1.187e+00 8.932e+00  7.176 3.052  6.639 1.007 1.004 2.065 25.997 4.657
8c2688  310  1.187e+00 8.932e+00  7.281 3.215  6.783 1.013 1.001 2.126 27.786 5.168
8c2688  310  1.186e+00 8.932e+00  7.244 3.218  6.783 1.007 1.001 2.134 27.647 5.178
8c2688  310  1.186e+00 8.932e+00  7.325 3.212  6.783 1.002 1.001 2.112 27.904 5.158
8c2688  310  1.186e+00 8.932e+00  7.288 3.215  6.783 1.007 1.001 2.122 27.789 5.168
8c2688  310  1.187e+00 8.932e+00  7.279 3.215  6.783 1.005 1.001 2.126 27.778 5.168
8c2685  310  1.187e+00 8.932e+00  7.548 3.468  7.012 1.009 1.009 2.196 31.071 6.014
8c2685  310  1.186e+00 8.932e+00  7.593 3.465  7.012 1.008 1.009 2.182 31.203 6.003
8c2706  310  1.187e+00 8.916e+00  7.765 3.580  7.121 1.014 1.005 2.202 32.997 6.408
8c2706  310  1.187e+00 8.916e+00  7.765 3.580  7.121 1.010 1.005 2.202 32.997 6.408
8c2706  310  1.187e+00 8.916e+00  7.723 3.583  7.121 1.005 1.005 2.214 32.846 6.419
8c2704  310  1.187e+00 8.916e+00  8.115 3.844  7.366 1.015 1.012 2.255 37.027 7.388
8c2704  310  1.187e+00 8.916e+00  8.098 3.845  7.366 1.008 1.012 2.26 36.959 7.392
8c2704  310  1.187e+00 8.916e+00  8.069 3.847  7.366 1.009 1.012 2.269 36.846 7.4
8c2704  310  1.187e+00 8.916e+00  8.012 3.852  7.366 1.019 1.012 2.286 36.633 7.419
8c2705  310  1.187e+00 8.916e+00  8.342 3.903  7.430 1.006 1.003 2.231 38.647 7.617
8c2705  310  1.187e+00 8.916e+00  7.920 3.934  7.430 1.016 1.003 2.359 36.984 7.738
8c2705  310  1.187e+00 8.916e+00  8.212 3.912  7.430 1.013 1.003 2.267 38.133 7.652
8c2696  310  1.186e+00 8.933e+00  7.911 3.886  7.387 1.025 1.008 2.331 36.46 7.55
8c2696  310  1.186e+00 8.933e+00  7.918 3.885  7.387 1.007 1.008 2.328 36.483 7.547
8c2696  310  1.186e+00 8.933e+00  8.038 3.876  7.387 1.010 1.008 2.291 36.95 7.512
8c2696  310  1.186e+00 8.933e+00  8.041 3.876  7.387 1.020 1.008 2.29 36.964 7.512
8c2724  3,1  1.186e+00 2.783e+00  8.274 4.008  9.214 1.015 1.008 2.3 39.33 8.032
8c2724  3,1  1.185e+00 2.783e+00  8.212 4.017  9.214 1.009 1.008 2.32 39.09 8.068
8c2648  310  1.187e+00 8.937e+00  8.426 4.065  7.572 1.016 1.001 2.293 40.657 8.262
8c2697  310  1.186e+00 8.933e+00  8.201 4.177  7.652 1.020 1.002 2.417 40.627 8.724
8c2647  310  1.187e+00 8.937e+00  8.649 4.261  7.752 1.002 1.018 2.34 43.745 9.078
8c2697  310  1.186e+00 8.933e+00  8.208 4.177  7.652 1.018 1.002 2.415 40.662 8.724
8c2697  310  1.186e+00 8.933e+00  8.324 4.168  7.652 1.012 1.002 2.375 41.148 8.686
8c2697  310  1.186e+00 8.933e+00  8.269 4.172  7.652 1.013 1.002 2.394 40.915 8.703
8c2725  3,1  1.185e+00 2.783e+00  8.984 4.523  9.756 1.014 1.012 2.386 48.152 10.229
8c2725  3,1  1.185e+00 2.783e+00  8.951 4.527  9.756 1.006 1.012 2.398 48.018 10.247
8c2699  310  1.188e+00 8.937e+00  8.960 4.624  8.079 1.029 1.018 2.455 49.22 10.691
8c2699  310  1.188e+00 8.937e+00  9.343 4.593  8.079 1.012 1.018 2.337 50.98 10.548
8c2699  310  1.187e+00 8.937e+00  9.303 4.596  8.079 1.008 1.018 2.346 50.752 10.562
8c2699  310  1.185e+00 8.937e+00  8.985 4.624  8.079 1.005 1.018 2.441 49.233 10.691
8c2726  3,1  1.185e+00 2.783e+00  9.322 4.623  9.887 1.008 1.002 2.351 51.068 10.686
8c2698  310  1.188e+00 8.937e+00  9.331 4.654  8.131 1.010 1.009 2.37 51.591 10.83
8c2698  310  1.185e+00 8.937e+00  9.223 4.665  8.131 1.009 1.009 2.398 50.985 10.881
8c2698  310  1.185e+00 8.937e+00  9.281 4.660  8.131 1.005 1.009 2.38 51.251 10.858
8c2707  310  1.187e+00 8.937e+00  9.447 4.820  8.278 1.008 1.008 2.424 54.049 11.616
8c2707  310  1.187e+00 8.937e+00  9.153 4.844  8.278 1.008 1.008 2.521 52.628 11.732
8c2707  310  1.187e+00 8.937e+00  9.479 4.817  8.278 1.026 1.008 2.413 54.199 11.602
8c2727  3,1  1.185e+00 2.783e+00  9.353 4.741  9.996 1.009 1.005 2.403 52.546 11.239
8c1417  3,1  1.186e+00 2.784e+00  4.782 1.337  6.528 1.002 1.004 1.646 7.583 0.894
8c1417  3,1  1.186e+00 2.784e+00  4.784 1.337  6.528 1.002 1.004 1.646 7.586 0.894
8c1418  3,1  1.186e+00 2.784e+00  5.330 1.693  6.876 1.001 1.003 1.738 10.702 1.433
8c1418  3,1  1.186e+00 2.784e+00  5.328 1.693  6.876 1.007 1.003 1.738 10.698 1.433
8c1422  3,1  1.186e+00 2.784e+00  6.841 2.789  7.975 1.002 1.001 2.002 22.628 3.889
8c1423  3,1  1.186e+00 2.784e+00  8.772 4.346  9.574 1.006 1.005 2.351 45.214 9.444
8c1423  3,1  1.186e+00 2.784e+00  8.760 4.348  9.574 1.002 1.005 2.355 45.173 9.453
8c1426  3,1  1.186e+00 2.784e+00  4.658 1.357  6.538 1.007 1.006 1.674 7.497 0.921
8c1428  3,1  1.186e+00 2.784e+00  5.515 1.895  7.067 1.009 1.008 1.807 12.395 1.796
8c1429  3,1  1.186e+00 2.784e+00  6.325 2.403  7.584 1.002 1.000 1.913 18.026 2.887
8c1430  3,1  1.186e+00 2.784e+00  6.832 2.833  8.013 1.007 1.007 2.026 22.955 4.013
8c1431  3,1  1.186e+00 2.784e+00  6.442 2.474  7.657 1.007 1.013 1.925 18.902 3.06
8c1433  3,1  1.186e+00 2.784e+00  6.693 2.643  7.831 1.004 1.002 1.96 20.98 3.493
8c1443  3,1  1.186e+00 2.784e+00  6.239 2.377  7.553 1.010 1.010 1.916 17.589 2.825
8c1444  3,1  1.186e+00 2.784e+00  5.303 1.783  6.953 1.002 1.003 1.787 11.214 1.59
8c1447  3,1  1.186e+00 2.782e+00  4.039 0.970  6.172 1.003 1.004 1.561 4.647 0.47
8c1465  3,1  1.186e+00 2.782e+00  6.194 2.416  7.585 1.016 1.002 1.944 17.748 2.919


# lucite
cbulk   040  1.184e+00 0.000e+00  2.172 0.000  0.000 1.005 0.000 1.184 0.0 0.0
8a-391  0,1  1.180e+00 2.785e+00  4.649 1.283  6.472 1.000 1.000 1.63 7.038 0.823
8a-391  0,1  1.180e+00 2.785e+00  4.639 1.284  6.472 1.000 1.000 1.632 7.029 0.824
8a-413  0,1  1.180e+00 2.785e+00  6.182 2.188  7.377 1.000 1.000 1.826 15.961 2.394
8a-516  0,1  1.180e+00 2.785e+00  6.005 2.097  7.282 1.000 1.000 1.813 14.859 2.199
8a-517  0,1  1.180e+00 2.785e+00  5.200 1.637  6.815 1.000 1.000 1.722 10.045 1.34
8a-519  0,1  1.180e+00 2.785e+00  4.663 1.249  6.443 1.000 1.000 1.612 6.872 0.78
8c1930  3,1  1.186e+00 2.786e+00  9.742 5.087 10.353 1.008 1.004 2.482 58.775 12.939
8c1933  3,1  1.186e+00 2.784e+00  9.558 4.663  9.951 1.015 1.007 2.316 52.859 10.872
