# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
1.1126480566563794 0.8699965763737892 NaN -18466.746509031178  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019924852726364785 -3.428796762804888 0.0010866606612110895 0.0 0.0 -0.0 1.1126480566563794 298.0
1.1143908043806037 0.86863602624398 NaN -18466.751780106086  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019902233969015474 -3.393312405423446 0.0010866170654950595 0.0 0.0 -0.0 1.1143908043806037 298.0
1.1161335521059361 0.867279724880203 NaN -18466.757051180997  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019879615211666167 -3.357828048019439 0.0010865734697790017 0.0 0.0 -0.0 1.1161335521059361 298.0
1.1178762998323717 0.8659276524112318 NaN -18466.76232225591  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019856996454316856 -3.3223436905929713 0.0010865298740629164 0.0 0.0 -0.0 1.1178762998323717 298.0
1.119619047559905 0.8645797890895629 NaN -18466.76759333083  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019834377696723387 -3.286859333144151 0.0010864862783468035 0.0 0.0 -0.0 1.119619047559905 298.0
1.1213617952885315 0.8632361152904529 NaN -18466.77286440575  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.001981175893937408 -3.251374975673074 0.0010864426826306635 0.0 0.0 -0.0 1.1213617952885315 298.0
1.1231045430182458 0.8618966115109677 NaN -18466.778135480676  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.001978914018190269 -3.2158906181798477 0.001086399086914496 0.0 0.0 -0.0 1.1231045430182458 298.0
1.1248472907490428 0.8605612583690385 NaN -18466.783406555605  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.00197665214244313 -3.1804062606645775 0.0010863554911983014 0.0 0.0 -0.0 1.1248472907490428 298.0
1.1265900384809173 0.8592300366025262 NaN -18466.788677630535  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.001974390266695991 -3.1449219031273654 0.0010863118954820802 0.0 0.0 -0.0 1.1265900384809173 298.0
1.1283327862138648 0.8579029270682955 NaN -18466.79394870547  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019721283909488524 -3.109437545568308 0.0010862682997658318 0.0 0.0 -0.0 1.1283327862138648 298.0
