# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
22.745963738239652 0.9433855499770543 0.2581881642906728 0.0881116915080462  -25.660255726519942 -25.660255726519942 -25.660255726519942 0.0 0.0 0.0 342.26915322489225 2.1387368376652414E-4 22.576655360172975 1.241344645814933E-4 25.660255726519942 2.634877398553391 6.36925800707422E-7 22.745963738239652 342.26915322489225
22.763133741319567 0.9426739637348994 0.2617765634661773 0.08928657219569398  -26.003160483971765 -26.003160483971765 -26.003160483971765 0.0 0.0 0.0 342.95022871723495 2.138866090174026E-4 22.653441021461752 1.2411785693297703E-4 26.003160483971765 2.634068834642571 6.340086135764702E-7 22.763133741319567 342.95022871723495
22.780303744400715 0.9419634501682914 0.2653683388459032 0.09046150855586467  -26.346073119245826 -26.346073119245826 -26.346073119245826 0.0 0.0 0.0 343.6319351022548 2.1389870672097657E-4 22.730219387020096 1.2410124928445955E-4 26.346073119245826 2.633261804885896 6.311128970419096E-7 22.780303744400715 343.6319351022548
22.797473747483085 0.9412540068535621 0.2689634744927058 0.09163650054079882  -26.688993635782314 -26.688993635782314 -26.688993635782314 0.0 0.0 0.0 344.3142722483816 2.139099802826837E-4 22.806990446025946 1.2408464163594088E-4 26.688993635782314 2.632456305943505 6.282384273303273E-7 22.797473747483085 344.3142722483816
22.814643750566674 0.9405456313743389 0.27256195455937515 0.09281154810279377  -27.031922037023204 -27.031922037023204 -27.031922037023204 0.0 0.0 0.0 344.997240024429 2.1392043309061725E-4 22.88375418766052 1.2406803398742105E-4 27.031922037023204 2.6316523344856604 6.253849837226889E-7 22.814643750566674 344.997240024429
22.831813753651478 0.9398383213215178 0.2761637632879053 0.09398665119420316  -27.37485832641209 -27.37485832641209 -27.37485832641209 0.0 0.0 0.0 345.6808382995939 2.1393006851563116E-4 22.96051060110826 1.2405142633890002E-4 27.37485832641209 2.6308498871927073 6.225523485026028E-7 22.831813753651478 345.6808382995939
22.848983756737503 0.939132074293236 0.27976888500877534 0.09516180976743763  -27.717802507394442 -27.717802507394442 -27.717802507394442 0.0 0.0 0.0 346.36506694345724 2.1393888991144404E-4 23.037259675556882 1.2403481869037783E-4 27.717802507394442 2.630048960755036 6.197403069056311E-7 22.848983756737503 346.36506694345724
22.86615375982474 0.9384268878948453 0.28337730414023016 0.09633702377496277  -28.060754583416987 -28.060754583416987 -28.060754583416987 0.0 0.0 0.0 347.04992582598277 2.1394690061474247E-4 23.114001400197218 1.2401821104185447E-4 28.060754583416987 2.6292495518730465 6.16948647069627E-7 22.86615375982474 347.04992582598277
22.883323762913186 0.9377227597388844 0.28698900518758047 0.09751229316930092  -28.40371455792824 -28.40371455792824 -28.40371455792824 0.0 0.0 0.0 347.73541481751823 2.1395410394528375E-4 23.19073576422334 1.2400160339332992E-4 28.40371455792824 2.6284516572571106 6.141771599860635E-7 22.883323762913186 347.73541481751823
22.900493766002842 0.937019687445052 0.2906039727425055 0.0986876179030311  -28.74668243437854 -28.74668243437854 -28.74668243437854 0.0 0.0 0.0 348.4215337887953 2.1396050320599775E-4 23.26746275683254 1.2398499574480424E-4 28.74668243437854 2.6276552736275303 6.114256394523401E-7 22.900493766002842 348.4215337887953
