# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
1.0215200283866248 0.943123945911871 0.15975731988229575 0.28477321308239667  -0.4491007140221164 -0.4491007140221164 -0.4491007140221164 0.0 0.0 0.0 314.53964399779204 NaN 8.592604070729982 0.0010667918899731183 0.4491007140221164 1.1797134294763045 1.433786681292613E-4 1.0215200283866248 314.53964399779204
1.0223871929925907 0.9423240105150475 0.16224710827669098 0.285212293683404  -0.4567095896330101 -0.4567095896330101 -0.4567095896330101 0.0 0.0 0.0 314.8545396648369 NaN 8.626659539797343 0.0010667926834829896 0.4567095896330101 1.1787738267022045 1.425779787353264E-4 1.0223871929925907 314.8545396648369
1.0232543575986448 0.9415254309406872 0.16473970077741293 0.28565115824925974  -0.4643182467757484 -0.4643182467757484 -0.4643182467757484 0.0 0.0 0.0 315.16923235453675 NaN 8.660712539604598 0.001066793476992861 0.4643182467757484 1.1778358163842197 1.4178421438518956E-4 1.0232543575986448 315.16923235453675
1.0241215222047866 0.9407282037447032 0.16723508261451553 0.28608980684947805  -0.4719266854935979 -0.4719266854935979 -0.4719266854935979 0.0 0.0 0.0 315.4837221325062 NaN 8.69476307232076 0.0010667942705027324 0.4719266854935979 1.1768993944771629 1.4099729103041715E-4 1.0241215222047866 315.4837221325062
1.0249886868110163 0.9399323254946637 0.16973323911473562 0.28652823955418566  -0.4795349058305862 -0.4795349058305862 -0.4795349058305862 0.0 0.0 0.0 315.7980090649339 NaN 8.728811140114926 0.0010667950640126038 0.4795349058305862 1.1759645569495347 1.402171259547541E-4 1.0249886868110163 315.7980090649339
1.025855851417333 0.9391377927697434 0.17223415570057998 0.2869664564341165  -0.487142907831482 -0.487142907831482 -0.487142907831482 0.0 0.0 0.0 316.1120932185777 NaN 8.762856745156212 0.0010667958575224755 0.487142907831482 1.1750312997834684 1.3944363774795162E-4 1.025855851417333 316.1120932185777
1.026723016023737 0.9383446021606732 0.17473781788943574 0.2874044575606088  -0.49475069154180884 -0.49475069154180884 -0.49475069154180884 0.0 0.0 0.0 316.42597466076154 NaN 8.7968998896138 0.001066796651032347 0.49475069154180884 1.1740996189746706 1.3867674628020559E-4 1.026723016023737 316.42597466076154
1.0275901806302283 0.9375527502696919 0.17724421129268203 0.2878422430056008  -0.5023582570078297 -0.5023582570078297 -0.5023582570078297 0.0 0.0 0.0 316.7396534593715 NaN 8.830940575656886 0.0010667974445422188 0.5023582570078297 1.1731695105323643 1.379163726771952E-4 1.0275901806302283 316.7396534593715
1.028457345236806 0.9367622337104988 0.17975332161481505 0.2882798128416258  -0.5099656042765359 -0.5099656042765359 -0.5099656042765359 0.0 0.0 0.0 317.0531296828515 NaN 8.86497880545464 0.0010667982380520903 0.5099656042765359 1.1722409704792325 1.371624392957015E-4 1.028457345236806 317.0531296828515
1.0293245098434702 0.9359730491082037 0.182265134652592 0.2887171671418094  -0.5175727333956601 -0.5175727333956601 -0.5175727333956601 0.0 0.0 0.0 317.3664034002002 NaN 8.899014581176255 0.0010667990315619622 0.5175727333956601 1.1713139948513607 1.3641486969979025E-4 1.0293245098434702 317.3664034002002
1.0301916744502209 0.9351851930992797 0.1847796362941758 0.2891543059798646  -0.5251796444136583 -0.5251796444136583 -0.5251796444136583 0.0 0.0 0.0 317.6794746809671 NaN 8.933047904990879 0.0010667998250718342 0.5251796444136583 1.1703885796981819 1.356735886375465E-4 1.0301916744502209 317.6794746809671
1.0310588390570576 0.9343986623315156 0.18729681251829636 0.28959122943008825  -0.5327863373797084 -0.5327863373797084 -0.5327863373797084 0.0 0.0 0.0 317.9923435952482 NaN 8.96707877906762 0.0010668006185817062 0.5327863373797084 1.169464721082418 1.3493852201834346E-4 1.0310588390570576 317.9923435952482
1.0319260036639801 0.9336134534639683 0.18981664939342077 0.29002793756735673  -0.5403928123437043 -0.5403928123437043 -0.5403928123437043 0.0 0.0 0.0 318.30501021368303 NaN 9.001107205575511 0.0010668014120915783 0.5403928123437043 1.1685424150800265 1.3420959689063315E-4 1.0319260036639801 318.30501021368303
1.0327931682709885 0.9328295631669147 0.19233913307693695 0.29046443046712267  -0.5479990693562588 -0.5479990693562588 -0.5479990693562588 0.0 0.0 0.0 318.61747460745073 NaN 9.035133186683549 0.0010668022056014505 0.5479990693562588 1.1676216577801437 1.3348674142024292E-4 1.0327931682709885 318.61747460745073
1.0336603328780822 0.9320469881218061 0.19486424981434067 0.2909007082054099  -0.5556051084686857 -0.5556051084686857 -0.5556051084686857 0.0 0.0 0.0 318.929736848266 NaN 9.069156724560592 0.0010668029991113227 0.5556051084686857 1.1667024452850299 1.3276988486916771E-4 1.0336603328780822 318.929736848266
1.0345274974852612 0.93126572502122 0.19739198593844176 0.291336770858811  -0.563210929733009 -0.563210929733009 -0.563210929733009 0.0 0.0 0.0 319.24179700837607 NaN 9.103177821375429 0.001066803792621195 0.563210929733009 1.1657847737100129 1.3205895757484044E-4 1.0345274974852612 319.24179700837607
1.035394662092525 0.9304857705688142 0.1999223278685725 0.291772618504482  -0.5708165332019479 -0.5708165332019479 -0.5708165332019479 0.0 0.0 0.0 319.5536551605565 NaN 9.137196479296708 0.0010668045861310675 0.5708165332019479 1.1648686391834355 1.3135389092987262E-4 1.035394662092525 319.5536551605565
1.0362618266998735 0.9297071214792801 0.20245526210981163 0.29220825122013955  -0.5784219189289207 -0.5784219189289207 -0.5784219189289207 0.0 0.0 0.0 319.86531137810795 NaN 9.171212700492964 0.00106680537964094 0.5784219189289207 1.1639540378466002 1.306546173622492E-4 1.0362618266998735 319.86531137810795
1.037128991307307 0.9289297744782967 0.20499077525221415 0.2926436690840569  -0.5860270869680365 -0.5860270869680365 -0.5860270869680365 0.0 0.0 0.0 320.1767657348525 NaN 9.205226487132578 0.0010668061731508127 0.5860270869680365 1.1630409658537137 1.2996107031596762E-4 1.037128991307307 320.1767657348525
1.0379961559148245 0.9281537263024855 0.20752885397005008 0.29307887217505924  -0.5936320373740849 -0.5936320373740849 -0.5936320373740849 0.0 0.0 0.0 320.48801830512963 NaN 9.23923784138374 0.0010668069666606853 0.5936320373740849 1.162129419371836 1.2927318423211031E-4 1.0379961559148245 320.48801830512963
1.0388633205224262 0.9273789736993631 0.21006948502105818 0.29351386057252116  -0.6012367702025427 -0.6012367702025427 -0.6012367702025427 0.0 0.0 0.0 320.79906916379343 NaN 9.2732467654145 0.001066807760170558 0.6012367702025427 1.1612193945808227 1.2859089453033567E-4 1.0388633205224262 320.79906916379343
