Ariadne V0.5
WXMaths V0.8
WXCloud V0.5
# Isentrope
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
3.728946469315813 0.9610726693098902 0.28708673628429754 0.04142013454354248  -7.346624712787393 -7.346624712787393 -7.346624712787393 0.0 0.0 0.0 244.29958109841095 2.977926509380163E-4 53.4329220445032 5.874162146977077E-4 7.346624712787393 0.9907230976859206 2.9208089110954876E-6 3.728946469315813 0.04142013454354248
3.7321722011538303 0.9602420102349734 0.2934085970801373 0.04314221674880373  -7.512984265184946 -7.512984265184946 -7.512984265184946 0.0 0.0 0.0 244.43581554961156 2.976147015707741E-4 53.47533580830763 5.866838083432741E-4 7.512984265184946 0.9907111906393363 2.9122991057421327E-6 3.7321722011538303 0.04314221674880373
3.735397932992193 0.9594127858041327 0.29972750012659466 0.044899832623983504  -7.679475820788323 -7.679475820788323 -7.679475820788323 0.0 0.0 0.0 244.6330332625244 2.975844243113038E-4 53.51769838337757 5.859514019887621E-4 7.679475820788323 0.9907014131874775 2.9038225832859163E-6 3.735397932992193 0.044899832623983504
3.738623664830902 0.9585849923038815 0.30604344653011656 0.04669288745635411  -7.8460993683154525 -7.8460993683154525 -7.8460993683154525 0.0 0.0 0.0 244.89130135878713 2.977014249215077E-4 53.5600101279688 5.852189956341714E-4 7.8460993683154525 0.9906937677295936 2.8953791607135546E-6 3.738623664830902 0.04669288745635411
3.741849396669956 0.9577586260335377 0.31235643742012575 0.04852128686209684  -8.012854898202372 -8.012854898202372 -8.012854898202372 0.0 0.0 0.0 245.2106878592037 2.9796531052926693E-4 53.602271400201865 5.844865892795023E-4 8.012854898202372 0.9906882566962815 2.8869686562760644E-6 3.741849396669956 0.04852128686209684
3.745075128509354 0.95693368330517 0.3186664739488849 0.05038493678527505  -8.179742402607756 -8.179742402607756 -8.179742402607756 0.0 0.0 0.0 245.59126168762646 2.983756896241603E-4 53.64448255806984 5.837541829247552E-4 8.179742402607756 0.9906848825495987 2.87859088947796E-6 3.745075128509354 0.05038493678527505
3.748300860349095 0.9561101604435418 0.324973557291367 0.052283743496814264  -8.346761875417652 -8.346761875417652 -8.346761875417652 0.0 0.0 0.0 246.03309267487694 2.989321720532044E-4 53.686643959446144 5.830217765699304E-4 8.346761875417652 0.9906836477831791 2.8702456810665476E-6 3.748300860349095 0.052283743496814264
3.7515265921891783 0.9552880537860571 0.33127768864512186 0.05421761359348505  -8.513913312250127 -8.513913312250127 -8.513913312250127 0.0 0.0 0.0 246.53625156270354 2.9963436901661285E-4 53.72875596209238 5.822893702150276E-4 8.513913312250127 0.9906845549223483 2.861932853021328E-6 3.7515265921891783 0.05421761359348505
3.754752324029603 0.9544673596827059 0.33757886923014324 0.05618645399689096  -8.68119671045998 -8.68119671045998 -8.68119671045998 0.0 0.0 0.0 247.10081000777802 3.0048189306357596E-4 53.77081892366593 5.815569638600474E-4 8.68119671045998 0.9906876065242403 2.853652228543532E-6 3.754752324029603 0.05618645399689096
3.757978055870368 0.953648074496011 0.34387710028873875 0.05819017195246301  -8.84861206914354 -8.84861206914354 -8.84861206914354 0.0 0.0 0.0 247.72684058573276 3.0147435808806667E-4 53.812833201728054 5.8082455750499E-4 8.84861206914354 0.9906928051779164 2.8454036320457177E-6 3.757978055870368 0.05819017195246301
3.761203787711473 0.952830194600973 0.3501723830854046 0.06022867502845773  -9.016159389143624 -9.016159389143624 -9.016159389143624 0.0 0.0 0.0 248.41441679523342 3.0261137932465686E-4 53.854799153751514 5.800921511498553E-4 9.016159389143624 0.9907001535044853 2.8371868891415065E-6 3.761203787711473 0.06022867502845773
3.7644295195529156 0.9520137163850181 0.3564647189066904 0.06230187111495976  -9.183838673054275 -9.183838673054275 -9.183838673054275 0.0 0.0 0.0 249.16361306209492 3.0389257334436477E-4 53.896717137128675 5.793597447946439E-4 9.183838673054275 0.9907096541572242 2.829001826635406E-6 3.7644295195529156 0.06230187111495976
3.767655251394696 0.9511986362479439 0.3627541090610842 0.06440966842289204  -9.351649925226061 -9.351649925226061 -9.351649925226061 0.0 0.0 0.0 249.97450474343373 3.0531755805051307E-4 53.93858750917928 5.786273384393559E-4 9.351649925226061 0.9907213098217014 2.820848272512731E-6 3.767655251394696 0.06440966842289204
3.770880983236815 0.9503849506018668 0.3690405548788813 0.06655197548302856  -9.51959315177097 -9.51959315177097 -9.51959315177097 0.0 0.0 0.0 250.84716813186378 3.068859526746168E-4 53.98041062715847 5.778949320839911E-4 9.51959315177097 0.9907351232158995 2.812726055929631E-6 3.770880983236815 0.06655197548302856
3.774106715079269 0.9495726558711702 0.3753240577120531 0.06872870114500912  -9.687668360567327 -9.687668360567327 -9.687668360567327 0.0 0.0 0.0 251.78168045972845 3.085973777722817E-4 54.02218684826472 5.771625257285501E-4 9.687668360567327 0.9907510970903416 2.804635007203224E-6 3.774106715079269 0.06872870114500912
3.7773324469220593 0.9487617484924504 0.38160461893414255 0.07093975457636865  -9.855875561265496 -9.855875561265496 -9.855875561265496 0.0 0.0 0.0 252.77811990337847 3.104514552191327E-4 54.06391652964786 5.764301193730327E-4 9.855875561265496 0.9907692342282174 2.7965749578018032E-6 3.7773324469220593 0.07093975457636865
3.7805581787651827 0.9479522249144667 0.3878822399401222 0.07318504526155807  -10.024214765292577 -10.024214765292577 -10.024214765292577 0.0 0.0 0.0 253.83656558748538 3.1244780820675276E-4 54.105600028417115 5.756977130174398E-4 10.024214765292577 0.9907895374455098 2.7885457403351726E-6 3.7805581787651827 0.07318504526155807
3.7837839106086397 0.9471440815980873 0.3941569221462924 0.07546448300098309  -10.19268598585821 -10.19268598585821 -10.19268598585821 0.0 0.0 0.0 254.9570975894018 3.14586061238651E-4 54.147237701649175 5.74965306661771E-4 10.19268598585821 0.9908120095911281 2.7805471885450458E-6 3.7837839106086397 0.07546448300098309
3.7870096424524307 0.9463373150162386 0.4004286669901546 0.07777797791003954  -10.361289237959786 -10.361289237959786 -10.361289237959786 0.0 0.0 0.0 256.13979694356004 3.168658401262455E-4 54.18882990639633 5.742329003060266E-4 10.361289237959786 0.9908366535470339 2.7725791372955543E-6 3.7870096424524307 0.07777797791003954
3.7902353742965524 0.9455319216538555 0.4066975971221925 0.0801254407274086  -10.530027967465175 -10.530027967465175 -10.530027967465175 0.0 0.0 0.0 257.20488616944425 3.189732962471652E-4 54.234569917846926 6.900952949251858E-4 10.530027967465175 0.9923448495371494 3.331419360047916E-6 3.7902353742965524 0.0801254407274086
3.793461106141005 0.9447278980078273 0.412963717950657 0.08250678280566863  -10.698899522605375 -10.698899522605375 -10.698899522605375 0.0 0.0 0.0 258.2910758371624 3.211509544745484E-4 54.27621709665861 6.892915989272957E-4 10.698899522605375 0.9923693620490877 3.3222409449272567E-6 3.793461106141005 0.08250678280566863
3.796686837985788 0.9439252405869494 0.41922691400917966 0.08492191523541193  -10.867903337597882 -10.867903337597882 -10.867903337597882 0.0 0.0 0.0 259.42888047697045 3.234516820485844E-4 54.31782346866281 6.884879029293234E-4 10.867903337597882 0.9923958584805133 3.313096769735965E-6 3.796686837985788 0.08492191523541193
3.7999125698309006 0.9431239459118715 0.42548718700512733 0.08737074941741142  -11.03703943113873 -11.03703943113873 -11.03703943113873 0.0 0.0 0.0 260.6183522189201 3.258751559064216E-4 54.35938937325963 6.87684206931269E-4 11.03703943113873 0.9924243408748259 3.303986653294993E-6 3.7999125698309006 0.08737074941741142
3.8031383016763414 0.9423240105150482 0.43174453866478335 0.08985319706170596  -11.206307823566911 -11.206307823566911 -11.206307823566911 0.0 0.0 0.0 261.8595438872929 3.2842105411116067E-4 54.40091514977895 6.868805109331328E-4 11.206307823566911 0.992454811301674 3.2949104156266665E-6 3.8031383016763414 0.08985319706170596
3.8063640335221103 0.9415254309406877 0.43799897073324273 0.09236917018663507  -11.375708536868752 -11.375708536868752 -11.375708536868752 0.0 0.0 0.0 263.1525090032583 3.3108905584832695E-4 54.442401137487586 6.860768149349149E-4 11.375708536868752 0.9924872718570388 3.285867877944807E-6 3.8063640335221103 0.09236917018663507
3.8095897653682047 0.9407282037447039 0.4442504849742968 0.0949185811178754  -11.54524159468202 -11.54524159468202 -11.54524159468202 0.0 0.0 0.0 264.4973017875572 3.338788414223616E-4 54.48384767559623 6.852731189366159E-4 11.54524159468202 0.9925217246633181 3.276858862644971E-6 3.8095897653682047 0.0949185811178754
3.8128154972146264 0.9399323254946644 0.45049908317034065 0.09750134248748854  -11.714907022300688 -11.714907022300688 -11.714907022300688 0.0 0.0 0.0 265.89397716321275 3.3679009225313016E-4 54.52525510326674 6.844694229382353E-4 11.714907022300688 0.9925581718694111 3.2678831932947463E-6 3.8128154972146264 0.09750134248748854
3.8160412290613723 0.9391377927697443 0.4567447671222496 0.10011736723296288  -11.884704846678895 -11.884704846678895 -11.884704846678895 0.0 0.0 0.0 267.3425907582636 3.398224908724444E-4 54.566623759619105 6.836657269397738E-4 11.884704846678895 0.9925966156508035 3.25894069462419E-6 3.8160412290613723 0.10011736723296288
3.8192669609084424 0.9383446021606741 0.46298753864929054 0.10276656859627252  -12.054635096435858 -12.054635096435858 -12.054635096435858 0.0 0.0 0.0 268.8431989085287 3.4297572092060915E-4 54.60795398373876 6.828620309412317E-4 12.054635096435858 0.9926370582096548 3.2500311925163096E-6 3.8192669609084424 0.10276656859627252
