# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
9.940560370995021 0.9858599147584121 0.02635551042173781 -5.27497704482538E-4  -0.47493199305788036 -0.47493199305788036 -0.47493199305788036 0.0 0.0 0.0 297.3654849275933 NaN 3.570764506437115 1.226008578499546E-4 0.47493199305788036 1.0311268822586093 3.56150486525205E-6 9.940560370995021 297.3654849275933
9.943829216832546 0.9855358319520335 0.026977302229207883 -5.116720041928145E-4  -0.486579159659479 -0.486579159659479 -0.486579159659479 0.0 0.0 0.0 297.46629805166367 NaN 3.5823623912486435 1.2260085585772006E-4 0.486579159659479 1.0307879355425942 3.5476409162349863E-6 9.943829216832546 297.46629805166367
9.94709806267009 0.9852119621478223 0.027599444630403543 -4.953429707028414E-4  -0.49825111879592726 -0.49825111879592726 -0.49825111879592726 0.0 0.0 0.0 297.5670790654241 NaN 3.583538381380463 1.2260084851011343E-4 0.49825111879592726 1.0304492566094192 3.544146181293105E-6 9.94709806267009 297.5670790654241
9.950366908507652 0.9848883051358552 0.02822193441771219 -4.787158273869648E-4  -0.50993774790299 -0.50993774790299 -0.50993774790299 0.0 0.0 0.0 297.6678279798203 NaN 3.5950882527924777 1.226008475371617E-4 0.50993774790299 1.0301107466377442 3.530439221734108E-6 9.950366908507652 297.6678279798203
9.953635754345235 0.9845648607064845 0.028844771289159493 -4.6169837646407657E-4  -0.5216435371106011 -0.5216435371106011 -0.5216435371106011 0.0 0.0 0.0 297.768544793147 NaN 3.5962646260356568 1.226008548846459E-4 0.5216435371106011 1.0297723891177324 3.526966676323364E-6 9.953635754345235 297.768544793147
9.956904600182838 0.9842416286503382 0.02946795977620011 -4.442692597817208E-4  -0.5333697637127449 -0.5333697637127449 -0.5333697637127449 0.0 0.0 0.0 297.8692295258471 NaN 3.6079450989910553 1.2260086090109566E-4 0.5333697637127449 1.0294344039138383 3.51324091375446E-6 9.956904600182838 297.8692295258471
9.96017344602046 0.9839186087583187 0.030091499575865394 -4.265628512350943E-4  -0.5451098067497391 -0.5451098067497391 -0.5451098067497391 0.0 0.0 0.0 297.96988218186874 NaN 3.6091219036785405 1.2260086090109566E-4 0.5451098067497391 1.0290965521299738 3.5097904698851248E-6 9.96017344602046 297.96988218186874
9.963442291858101 0.9835958008216035 0.03071538763289741 -4.083311998232924E-4  -0.5568757585287374 -0.5568757585287374 -0.5568757585287374 0.0 0.0 0.0 298.0705027692331 NaN 3.6207577003906573 1.2260086647846447E-4 0.5568757585287374 1.028758875233239 3.4962160469826955E-6 9.963442291858101 298.0705027692331
9.96671113769576 0.9832732046316431 0.0313396236462796 -3.899355198569368E-4  -0.5686499061563925 -0.5686499061563925 -0.5686499061563925 0.0 0.0 0.0 298.1710912930625 NaN 3.6219349091973188 1.2260087382607205E-4 0.5686499061563925 1.0284214049871823 3.492787468368132E-6 9.96671113769576 298.1710912930625
9.96997998353344 0.9829508199801624 0.03196420696306852 -3.709008236072842E-4  -0.5804555516556438 -0.5804555516556438 -0.5804555516556438 0.0 0.0 0.0 298.271648015941 NaN 3.633581449629501 1.2260086762870277E-4 0.5804555516556438 1.0280898102626195 3.4793283220166183E-6 9.96997998353344 298.271648015941
