# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
5.815615613438436 0.9159033010765116 0.3379501872055128 0.07056170830479219  -7.001597703096042 -7.001597703096042 -7.001597703096042 0.0 0.0 0.0 319.9722435923793 -0.06256295319769466 15.293104510279862 3.293117327365957E-4 7.001597703096042 1.0511614246604122 3.89211145802363E-6 5.815615613438436 319.9722435923793
5.825205301391952 0.9143955041151204 0.3443961366585036 0.07300576664216633  -7.137240684765436 -7.137240684765436 -7.137240684765436 0.0 0.0 0.0 320.52766390544025 -0.060365605550652665 15.319631189066921 3.2923340428085273E-4 7.137240684765436 1.054131314865681 3.889010014874634E-6 5.825205301391952 320.52766390544025
5.834794989352581 0.9128926633858288 0.3508370621548231 0.07545026945338767  -7.272896426538934 -7.272896426538934 -7.272896426538934 0.0 0.0 0.0 321.0846989060446 -0.058168339022572284 15.346204746007746 3.2915507582505167E-4 7.272896426538934 1.0570936762315517 3.885862614121987E-6 5.834794989352581 321.0846989060446
5.844384677320286 0.9113947544915273 0.3572729851257719 0.07789521601626222  -7.408564967640248 -7.408564967640248 -7.408564967640248 0.0 0.0 0.0 321.64334755262024 -0.05597115048572754 15.37282450774484 3.290767473691929E-4 7.408564967640248 1.0600485474110153 3.882670074413815E-6 5.844384677320286 321.64334755262024
5.853974365295036 0.9099017531949701 0.36370392674454455 0.08034060561765963  -7.5442463473119705 -7.5442463473119705 -7.5442463473119705 0.0 0.0 0.0 322.203608830148 -0.05377403682610516 15.399489808593547 3.289984189132765E-4 7.5442463473119705 1.062995966805301 3.879433203519584E-6 5.853974365295036 322.203608830148
5.863564053276795 0.9084136354174694 0.370129907930019 0.08278643755341532  -7.679940604816022 -7.679940604816022 -7.679940604816022 0.0 0.0 0.0 322.7654817499037 -0.05157699494322337 15.426199990453306 3.2892009045730285E-4 7.679940604816022 1.0659359725659339 3.876152798448411E-6 5.863564053276795 322.7654817499037
5.873153741265528 0.9069303772375997 0.37655094935050154 0.08523271112823848  -7.815647779434363 -7.815647779434363 -7.815647779434363 0.0 0.0 0.0 323.3289653492042 -0.049380021749948426 15.452954402720117 3.2884176200127227E-4 7.815647779434363 1.0688686025967757 3.872829645566791E-6 5.873153741265528 323.3289653492042
5.882743429261202 0.9054519548899164 0.3829670714274077 0.08767942565561862  -7.951367910469526 -7.951367910469526 -7.951367910469526 0.0 0.0 0.0 323.8940586911567 -0.04718311417231591 15.47975240220001 3.28763433545185E-4 7.951367910469526 1.0717938945560466 3.869464520715741E-6 5.882743429261202 323.8940586911567
5.892333117263782 0.9039783447636864 0.3893782943388906 0.09012658045773424  -8.087101037245226 -8.087101037245226 -8.087101037245226 0.0 0.0 0.0 324.460760864411 -0.04498626914935354 15.506593353023726 3.286851050890413E-4 8.087101037245226 1.074711885858325 3.866058189327301E-6 5.892333117263782 324.460760864411
5.9019228052732355 0.9025095234016312 0.39578463802341585 0.09257417486536355  -8.222847199106987 -8.222847199106987 -8.222847199106987 0.0 0.0 0.0 325.0290709829154 -0.0427894836329053 15.533476626562353 3.286067766328415E-4 8.222847199106987 1.0776226136765297 3.862611406540404E-6 5.9019228052732355 325.0290709829154
