# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
11.674332965912141 0.9715743465755379 0.07388440735794174 0.015677861008039175  -2.1868689289983148 -2.1868689289983148 -2.1868689289983148 0.0 0.0 0.0 316.56045713920406 -0.07808498800088351 6.883420881067309 1.1963129867045441E-4 2.1868689289983148 2.6636477411260744 3.965383606737131E-6 11.674332965912141 316.56045713920406
11.682841954201649 0.9708667178350477 0.07579684024635151 0.016076633712067214  -2.2434823030355875 -2.2434823030355875 -2.2434823030355875 0.0 0.0 0.0 317.17530494528825 -0.07787358757406065 6.895882905721388 1.1962701527687369E-4 2.2434823030355875 2.6627313771273955 3.953832282711831E-6 11.682841954201649 317.17530494528825
11.691350942491704 0.9701601191216999 0.07770960654369118 0.016475464954525457  -2.3000992581887285 -2.3000992581887285 -2.3000992581887285 0.0 0.0 0.0 317.7906861422972 -0.07766208583774951 6.908319225883038 1.1962273188329271E-4 2.3000992581887285 2.6618164202475283 3.942345855237783E-6 11.691350942491704 317.7906861422972
11.699859930782305 0.9694545481881629 0.07962270065955808 0.01687435470010962  -2.3567197956481527 -2.3567197956481527 -2.3567197956481527 0.0 0.0 0.0 318.406600492391 -0.07745048238734105 6.920729917017345 1.1961844848971144E-4 2.3567197956481527 2.6609028674242605 3.930923780239866E-6 11.699859930782305 318.406600492391
11.70836891907345 0.9687500027936381 0.08153611703988974 0.01727330291354045  -2.4133439166037043 -2.4133439166037043 -2.4133439166037043 0.0 0.0 0.0 319.0230477579043 -0.07723877681847623 6.933115054314625 1.1961416509612992E-4 2.4133439166037043 2.6599907156042804 3.919565519705663E-6 11.70836891907345 319.0230477579043
11.716877907365141 0.9680464807038358 0.08344985016669319 0.017672309559563632  -2.469971622244643 -2.469971622244643 -2.469971622244643 0.0 0.0 0.0 319.6400277013463 -0.07702696872704616 6.945474712691603 1.1960988170254812E-4 2.469971622244643 2.6590799617431493 3.908270541601248E-6 11.716877907365141 319.6400277013463
11.725386895657373 0.9673439796909529 0.08536389455777613 0.01807137460294964  -2.5266029137596155 -2.5266029137596155 -2.5266029137596155 0.0 0.0 0.0 320.25754008540093 -0.07681505770919206 6.957808966792618 1.1960559830896603E-4 2.5266029137596155 2.658170602805267 3.897038319788387E-6 11.725386895657373 320.25754008540093
11.733895883950147 0.966642497533647 0.0872782447664848 0.018470498008494356  -2.583237792336747 -2.583237792336747 -2.583237792336747 0.0 0.0 0.0 320.87558467292797 -0.07660304336130473 6.970117890990825 1.1960131491538367E-4 2.583237792336747 2.657262635763838 3.885868333943076E-6 11.733895883950147 320.87558467292797
11.742404872243462 0.9659420320170152 0.0891928953814377 0.01886967974101839  -2.6398762591635405 -2.6398762591635405 -2.6398762591635405 0.0 0.0 0.0 321.49416122696215 -0.07639092528002497 6.98240155938934 1.1959703152180104E-4 2.6398762591635405 2.6563560576008416 3.8747600694754926E-6 11.742404872243462 321.49416122696215
11.750913860537315 0.9652425809325702 0.09110784102626715 0.019268919765367574  -2.696518315426938 -2.696518315426938 -2.696518315426938 0.0 0.0 0.0 322.11326951071453 -0.07617870306224332 6.994660045822441 1.1959274812821814E-4 2.696518315426938 2.655450865307001 3.863713017451194E-6 11.750913860537315 322.11326951071453
11.759422848831706 0.9645441420782161 0.09302307635936145 0.019668218046412906  -2.753163962313322 -2.753163962313322 -2.753163962313322 0.0 0.0 0.0 322.73290928757217 -0.07596637630509971 7.006893423856736 1.1958846473463498E-4 2.753163962313322 2.6545470558817477 3.852726674513648E-6 11.759422848831706 322.73290928757217
11.767931837126634 0.9638467132582266 0.09493859607360841 0.020067574549050476  -2.8098132010084935 -2.8098132010084935 -2.8098132010084935 0.0 0.0 0.0 323.3530803210987 -0.0757539446059837 7.0191017667923195 1.1958418134105154E-4 2.8098132010084935 2.6536446263331976 3.841800542808042E-6 11.767931837126634 323.3530803210987
11.776440825422096 0.9631502922832211 0.09685439489614255 0.020466989238201554  -2.8664660326976876 -2.8664660326976876 -2.8664660326976876 0.0 0.0 0.0 323.9737823750342 -0.07554140756253419 7.031285147663926 1.1957989794746785E-4 2.8664660326976876 2.652743573678109 3.8309341299063105E-6 11.776440825422096 323.9737823750342
11.784949813718095 0.9624548769701423 0.09877046758809496 0.020866462078812795  -2.9231224585655977 -2.9231224585655977 -2.9231224585655977 0.0 0.0 0.0 324.5950152132964 -0.07532876477263932 7.0434436392420965 1.1957561455388386E-4 2.9231224585655977 2.651843894941862 3.820126948733402E-6 11.784949813718095 324.5950152132964
