# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
10.121447110481519 0.9685077531896172 0.06083481847764529 9.097532477712295E-4  -1.1475610088398174 -1.1475610088398174 -1.1475610088398174 0.0 0.0 0.0 302.80849740373355 NaN 3.9243853876217294 1.2260469211922408E-4 1.1475610088398174 1.012635367636798 3.1256901395430603E-6 10.121447110481519 302.80849740373355
10.1263509121844 0.9680387421894524 0.06179448423662004 9.61591628481422E-4  -1.1664290441945042 -1.1664290441945042 -1.1664290441945042 0.0 0.0 0.0 302.9570249243778 NaN 3.926159630443318 1.226046901751612E-4 1.1664290441945042 1.012141871680913 3.121242771685941E-6 10.1263509121844 302.9570249243778
10.13125471388737 0.9675701852173348 0.06275898208332692 0.0010197426865407645  -1.1856091879471515 -1.1856091879471515 -1.1856091879471515 0.0 0.0 0.0 303.10548107229437 NaN 4.011555701927643 1.2260468823109834E-4 1.1856091879471515 1.0116512373908306 3.0518405076561518E-6 10.13125471388737 303.10548107229437
10.136158515590436 0.9671020816142977 0.06372830823202776 0.0010798638533202152  -1.2048869709342571 -1.2048869709342571 -1.2048869709342571 0.0 0.0 0.0 303.25386621994727 NaN 4.013364291602763 1.2260468628703545E-4 1.2048869709342571 1.0111618237202809 3.047514347820889E-6 10.136158515590436 303.25386621994727
10.141062317293594 0.9666344307226489 0.06469738365450944 0.0011399763186281005  -1.224164664743664 -1.224164664743664 -1.224164664743664 0.0 0.0 0.0 303.40218040052855 NaN 4.015169319692609 1.2260468434297257E-4 1.224164664743664 1.0106728833704683 3.043199062540352E-6 10.141062317293594 303.40218040052855
10.145966118996842 0.9661672318859683 0.0656662081150151 0.001200080086533416  -1.243442269417065 -1.243442269417065 -1.243442269417065 0.0 0.0 0.0 303.5504236472229 NaN 4.016970793992298 1.226046823989097E-4 1.243442269417065 1.0101844156550899 3.0388946115151445E-6 10.145966118996842 303.5504236472229
10.150869920700185 0.9657004844491034 0.06663478137939087 0.0012601751611076135  -1.2627197849961993 -1.2627197849961993 -1.2627197849961993 0.0 0.0 0.0 303.6985959932346 NaN 4.018768722276821 1.2260468045484683E-4 1.2627197849961993 1.0096964198891678 3.034600954644268E-6 10.150869920700185 303.6985959932346
10.15577372240362 0.9652341877581676 0.0676031032150765 0.0013202615464244412  -1.2819972115228089 -1.2819972115228089 -1.2819972115228089 0.0 0.0 0.0 303.8466974717872 NaN 4.020563112301074 1.2260467851078397E-4 1.2819972115228089 1.0092088953890475 3.0303180520239307E-6 10.15577372240362 303.8466974717872
10.160677524107143 0.9647683411605369 0.06857117339109868 0.0013803392465599731  -1.3012745490386526 -1.3012745490386526 -1.3012745490386526 0.0 0.0 0.0 303.99472811612316 NaN 4.022353971799937 1.226046765667211E-4 1.3012745490386526 1.0087218414723946 3.026045863946321E-6 10.160677524107143 303.99472811612316
10.165581325810761 0.9643029440048457 0.06953899167806593 0.001440408265592715  -1.3205517975855487 -1.3205517975855487 -1.3205517975855487 0.0 0.0 0.0 304.14268795950426 NaN 4.024141308488338 1.2260467462265823E-4 1.3205517975855487 1.0082352574581916 3.0217843508983998E-6 10.165581325810761 304.14268795950426
