#           USTAR            CLAG         DENSITY          STRESS
  1.25501690e+02  9.59466718e+03  3.62865481e+03  4.20741082e+09
  1.26053251e+02  9.59751734e+03  3.62886622e+03  4.22635914e+09
  1.26604811e+02  9.59615678e+03  3.62907764e+03  4.24530893e+09
  1.27156372e+02  9.58992051e+03  3.62928917e+03  4.26425122e+09
  1.27707933e+02  9.60595116e+03  3.62950062e+03  4.28320318e+09
  1.28259493e+02  9.61251034e+03  3.62971184e+03  4.30217744e+09
  1.28811054e+02  9.60967884e+03  3.62992305e+03  4.32115539e+09
  1.29362615e+02  9.61845074e+03  3.63013421e+03  4.34013920e+09
  1.29914175e+02  9.62662088e+03  3.63034522e+03  4.35913973e+09
  1.30465736e+02  9.60981435e+03  3.63055634e+03  4.37813174e+09
  1.31017297e+02  9.61286151e+03  3.63076764e+03  4.39711017e+09
  1.31568857e+02  9.63380568e+03  3.63097870e+03  4.41611228e+09
  1.32120418e+02  9.64062626e+03  3.63118948e+03  4.43514180e+09
  1.32671979e+02  9.63807469e+03  3.63140024e+03  4.45417554e+09
  1.33223539e+02  9.62217796e+03  3.63161123e+03  4.47319106e+09
  1.33775100e+02  9.63475245e+03  3.63182227e+03  4.49220331e+09
  1.34326661e+02  9.65597776e+03  3.63203297e+03  4.51124892e+09
  1.34878221e+02  9.66311246e+03  3.63224339e+03  4.53032253e+09
  1.35429782e+02  9.67215466e+03  3.63245365e+03  4.54941212e+09
  1.35981343e+02  9.66773662e+03  3.63266389e+03  4.56850627e+09
  1.36532903e+02  9.67988549e+03  3.63287407e+03  4.58760805e+09
  1.37084464e+02  9.71221420e+03  3.63308379e+03  4.60675375e+09
  1.37636025e+02  9.73067143e+03  3.63329299e+03  4.62594959e+09
  1.38187585e+02  9.74826523e+03  3.63350182e+03  4.64518101e+09
  1.38739146e+02  9.75948893e+03  3.63371037e+03  4.66444090e+09
  1.39290707e+02  9.76463262e+03  3.63391877e+03  4.68371694e+09
  1.39842267e+02  9.79288760e+03  3.63412684e+03  4.70302595e+09
  1.40393828e+02  9.81143200e+03  3.63433443e+03  4.72238117e+09
  1.40945388e+02  9.82305194e+03  3.63454173e+03  4.74176617e+09
  1.41496949e+02  9.82751050e+03  3.63474888e+03  4.76116704e+09
  1.42048510e+02  9.84579852e+03  3.63495582e+03  4.78059038e+09
  1.42600070e+02  9.86381000e+03  3.63516240e+03  4.80004955e+09
  1.43151631e+02  9.87061815e+03  3.63536874e+03  4.81953322e+09
  1.43703192e+02  9.88026915e+03  3.63557493e+03  4.83903314e+09
  1.44254752e+02  9.87334872e+03  3.63578112e+03  4.85853576e+09
  1.44806313e+02  9.86542205e+03  3.63598749e+03  4.87802373e+09
  1.45357874e+02  9.86304727e+03  3.63619398e+03  4.89750152e+09
  1.45909434e+02  9.85864139e+03  3.63640058e+03  4.91697261e+09
  1.46460995e+02  9.86160507e+03  3.63660721e+03  4.93644229e+09
  1.47012556e+02  9.86848357e+03  3.63681376e+03  4.95592168e+09
  1.47564116e+02  9.87821478e+03  3.63702016e+03  4.97541747e+09
  1.48115677e+02  9.88537975e+03  3.63722641e+03  4.99492994e+09
  1.48667238e+02  9.87183042e+03  3.63743275e+03  5.01443610e+09
  1.49218798e+02  9.85776829e+03  3.63763940e+03  5.03391501e+09
  1.49770359e+02  9.83947764e+03  3.63784641e+03  5.05336197e+09
  1.50321920e+02  9.83581462e+03  3.63805368e+03  5.07278726e+09
  1.50873480e+02  9.84293511e+03  3.63826094e+03  5.09221597e+09
  1.51425041e+02  9.83160976e+03  3.63846826e+03  5.11164052e+09
  1.51976602e+02  9.81240129e+03  3.63867593e+03  5.13103493e+09
  1.52528162e+02  9.80276720e+03  3.63888393e+03  5.15040086e+09
  1.53079723e+02  9.79474050e+03  3.63909214e+03  5.16974935e+09
  1.53631284e+02  9.79688009e+03  3.63930043e+03  5.18909203e+09
  1.54182844e+02  9.80507076e+03  3.63950864e+03  5.20844491e+09
  1.54734405e+02  9.79952815e+03  3.63971685e+03  5.22780041e+09
  1.55285966e+02  9.79683458e+03  3.63992517e+03  5.24714777e+09
  1.55837526e+02  9.78861884e+03  3.64013362e+03  5.26648436e+09
  1.56389087e+02  9.79351892e+03  3.64034214e+03  5.28581768e+09
  1.56940648e+02  9.80573924e+03  3.64055050e+03  5.30516790e+09
  1.57492208e+02  9.80259747e+03  3.64075878e+03  5.32452709e+09
  1.58043769e+02  9.79985088e+03  3.64096715e+03  5.34388046e+09
  1.58595330e+02  9.79612124e+03  3.64117562e+03  5.36322744e+09
  1.59146890e+02  9.80358108e+03  3.64138407e+03  5.38257810e+09
  1.59698451e+02  9.81666414e+03  3.64159232e+03  5.40194904e+09
  1.60250012e+02  9.81717322e+03  3.64180045e+03  5.42133340e+09
  1.60801572e+02  9.81725544e+03  3.64200861e+03  5.44071835e+09
  1.61353133e+02  9.81354661e+03  3.64221682e+03  5.46009971e+09
  1.61904694e+02  9.81921116e+03  3.64242504e+03  5.47948301e+09
  1.62456254e+02  9.83401597e+03  3.64263306e+03  5.49888651e+09
  1.63007815e+02  9.83425289e+03  3.64284095e+03  5.51830487e+09
  1.63559376e+02  9.83456201e+03  3.64304885e+03  5.53772376e+09
  1.64110936e+02  9.83112167e+03  3.64325682e+03  5.55713957e+09
  1.64662497e+02  9.83614793e+03  3.64346479e+03  5.57655694e+09
  1.65214058e+02  9.85029485e+03  3.64367258e+03  5.59599324e+09
  1.65765618e+02  9.85064494e+03  3.64388024e+03  5.61544385e+09
  1.66317179e+02  9.85103335e+03  3.64408792e+03  5.63489519e+09
  1.66868740e+02  9.84791644e+03  3.64429565e+03  5.65434383e+09
  1.67420300e+02  9.85212409e+03  3.64450339e+03  5.67379356e+09
  1.67971861e+02  9.86601658e+03  3.64471097e+03  5.69326115e+09
  1.68523422e+02  9.86799472e+03  3.64491840e+03  5.71274441e+09
  1.69074982e+02  9.86988868e+03  3.64512581e+03  5.73223150e+09
  1.69626543e+02  9.86836431e+03  3.64533325e+03  5.75171895e+09
  1.70178104e+02  9.87334481e+03  3.64554067e+03  5.77120981e+09
  1.70729664e+02  9.88747935e+03  3.64574791e+03  5.79071955e+09
  1.71281225e+02  9.88977954e+03  3.64595501e+03  5.81024551e+09
  1.71832786e+02  9.89113314e+03  3.64616209e+03  5.82977508e+09
  1.72384346e+02  9.89176038e+03  3.64636918e+03  5.84930660e+09
  1.72935907e+02  9.88655528e+03  3.64657633e+03  5.86883361e+09
  1.73487468e+02  9.89048729e+03  3.64678352e+03  5.88835935e+09
  1.74039028e+02  9.91165908e+03  3.64699048e+03  5.90790989e+09
  1.74590589e+02  9.91004503e+03  3.64719725e+03  5.92747973e+09
  1.75142150e+02  9.91155809e+03  3.64740405e+03  5.94704947e+09
  1.75693710e+02  9.90792065e+03  3.64761089e+03  5.96661711e+09
