#           USTAR            CLAG         DENSITY          STRESS
  1.32749479e+03  1.02529400e+04  4.28933362e+03  3.89038377e+10
  1.33328772e+03  1.02791828e+04  4.29223554e+03  3.91167424e+10
  1.33908065e+03  1.02929810e+04  4.29513573e+03  3.93300622e+10
  1.34487358e+03  1.03020192e+04  4.29803661e+03  3.95436189e+10
  1.35066651e+03  1.02944053e+04  4.30094122e+03  3.97571903e+10
  1.35645944e+03  1.03240127e+04  4.30384665e+03  3.99709898e+10
  1.36225237e+03  1.03402471e+04  4.30674955e+03  4.01852646e+10
  1.36804530e+03  1.03602471e+04  4.30965128e+03  4.03999152e+10
  1.37383823e+03  1.03861279e+04  4.31255049e+03  4.06150415e+10
  1.37963116e+03  1.03944512e+04  4.31544882e+03  4.08305225e+10
  1.38542409e+03  1.03992958e+04  4.31834921e+03  4.10461400e+10
  1.39121702e+03  1.04217968e+04  4.32124969e+03  4.12620411e+10
  1.39700995e+03  1.04438835e+04  4.32414785e+03  4.14784045e+10
  1.40280288e+03  1.04753484e+04  4.32704248e+03  4.16953232e+10
  1.40859581e+03  1.04841784e+04  4.32993540e+03  4.19126598e+10
  1.41438874e+03  1.04884802e+04  4.33283037e+03  4.21301325e+10
  1.42018167e+03  1.05060840e+04  4.33572620e+03  4.23478324e+10
  1.42597460e+03  1.05238509e+04  4.33862101e+03  4.25658990e+10
  1.43176753e+03  1.05533333e+04  4.34151320e+03  4.27844556e+10
  1.43756046e+03  1.05535668e+04  4.34440516e+03  4.30033203e+10
  1.44335339e+03  1.05594720e+04  4.34730013e+03  4.32222487e+10
  1.44914632e+03  1.05835818e+04  4.35019485e+03  4.34414883e+10
  1.45493925e+03  1.05993704e+04  4.35308796e+03  4.36611416e+10
  1.46073218e+03  1.06021950e+04  4.35598238e+03  4.38809879e+10
  1.46652511e+03  1.06135142e+04  4.35887871e+03  4.41009809e+10
  1.47231804e+03  1.06337919e+04  4.36177459e+03  4.43213016e+10
  1.47811097e+03  1.06236203e+04  4.36467293e+03  4.45417270e+10
  1.48390390e+03  1.06410047e+04  4.36757415e+03  4.47622272e+10
  1.48969683e+03  1.06623834e+04  4.37047393e+03  4.49831294e+10
  1.49548976e+03  1.06701820e+04  4.37337359e+03  4.52043341e+10
  1.50128269e+03  1.06782502e+04  4.37627495e+03  4.54257033e+10
  1.50707562e+03  1.07023270e+04  4.37917578e+03  4.56474059e+10
  1.51286855e+03  1.07121897e+04  4.38207586e+03  4.58694604e+10
  1.51866148e+03  1.07304818e+04  4.38497596e+03  4.60918069e+10
  1.52445441e+03  1.07632462e+04  4.38787301e+03  4.63146827e+10
  1.53024734e+03  1.07795276e+04  4.39076728e+03  4.65380672e+10
  1.53604027e+03  1.07996496e+04  4.39366047e+03  4.67618291e+10
  1.54183320e+03  1.08343144e+04  4.39655015e+03  4.69861591e+10
  1.54762613e+03  1.08555386e+04  4.39943616e+03  4.72110687e+10
  1.55341906e+03  1.08683330e+04  4.40232143e+03  4.74363310e+10
  1.55921199e+03  1.08947112e+04  4.40520529e+03  4.76619995e+10
  1.56500492e+03  1.09213211e+04  4.40808591e+03  4.78882174e+10
  1.57079785e+03  1.09360024e+04  4.41096485e+03  4.81148636e+10
  1.57659078e+03  1.09683109e+04  4.41384137e+03  4.83419969e+10
  1.58238371e+03  1.09845097e+04  4.41671526e+03  4.85696333e+10
  1.58817664e+03  1.09832302e+04  4.41959095e+03  4.87974243e+10
  1.59396957e+03  1.10096498e+04  4.42246709e+03  4.90254761e+10
  1.59976250e+03  1.10331058e+04  4.42534046e+03  4.92540450e+10
  1.60555543e+03  1.10353615e+04  4.42821420e+03  4.94828806e+10
  1.61134836e+03  1.10531977e+04  4.43108907e+03  4.97119244e+10
  1.61714129e+03  1.10741398e+04  4.43396262e+03  4.99413704e+10
